Event,Site,Date,Round,White,Black,Result,UTCDate,UTCTime,WhiteElo,BlackElo,WhiteRatingDiff,BlackRatingDiff,ECO,Opening,TimeControl,Termination,WhiteTitle,BlackTitle,moves_line,tag_line
Rated Bullet tournament https://lichess.org/tournament/rs53Xpda,https://lichess.org/Xa3soL0G,2018.09.30,-,YessidP,pushka_1995,1-0,2018.09.30,22:00:08,1607,1574,10,-11,D05,Colle System,60+0,Time forfeit,,,19,1
Rated Bullet game,https://lichess.org/oYMqpagH,2018.09.30,-,zulike2004,Vengge,0-1,2018.09.30,22:00:08,1781,1893,-7,9,A03,Bird Opening: Dutch Variation,120+0,Normal,,,39,21
Rated Blitz game,https://lichess.org/tXAI8DAF,2018.09.30,-,Maumar2,irman1010,0-1,2018.09.30,22:00:08,1374,1375,-10,10,D06,Queen's Gambit Refused: Marshall Defense,180+0,Normal,,,59,41
Rated Blitz game,https://lichess.org/oYRbv9Hm,2018.09.30,-,RIPPER007,chess_wey,0-1,2018.09.30,22:00:08,1641,1663,-10,9,B44,Sicilian Defense: Paulsen Variation,180+0,Time forfeit,,,79,61
Rated Blitz game,https://lichess.org/gZDgHhTr,2018.09.30,-,Putatalho,caspernix,0-1,2018.09.30,22:00:08,1959,1974,-10,10,D10,Slav Defense #2,180+0,Time forfeit,,,99,81
Rated Blitz game,https://lichess.org/2TrUvPFl,2018.09.30,-,Revealchess,oldclown,1-0,2018.09.30,22:00:08,1616,1612,10,-10,A43,Old Benoni Defense #2,180+0,Time forfeit,,,119,101
Rated Blitz game,https://lichess.org/1PVmIgZn,2018.09.30,-,Redbull22,chessfort,0-1,2018.09.30,22:00:08,2251,2266,-10,11,B01,Scandinavian Defense: Modern Variation #2,180+0,Normal,,,139,121
Rated Blitz game,https://lichess.org/0zRqQX25,2018.09.30,-,zoom9,jteles,0-1,2018.09.30,22:00:08,1584,1589,-10,10,A16,"English Opening: Anglo-Indian Defense, Queen's Knight Variation",180+0,Normal,,,159,141
Rated Blitz game,https://lichess.org/0yMXu34o,2018.09.30,-,wuju,zifmia,0-1,2018.09.30,22:00:08,1819,1837,-10,9,D00,Queen's Pawn Game: Levitsky Attack,180+0,Time forfeit,,,179,161
Rated Blitz game,https://lichess.org/lk3dzqXV,2018.09.30,-,MeisterLuetz,jedissson,0-1,2018.09.30,22:00:08,2062,1958,-13,14,A01,Nimzo-Larsen Attack: Symmetrical Variation,180+0,Time forfeit,,,199,181
Rated Blitz game,https://lichess.org/ONftrxPj,2018.09.30,-,em17,playboymacc,1-0,2018.09.30,22:00:08,1236,1340,13,-14,C42,Russian Game: Three Knights Game,180+0,Normal,,,219,201
Rated Blitz game,https://lichess.org/2tVLUYPC,2018.09.30,-,sany9696,Gormis,1-0,2018.09.30,22:00:08,1847,1892,11,-12,D20,Queen's Gambit Accepted: Old Variation,180+0,Time forfeit,,,239,221
Rated Blitz game,https://lichess.org/9lnf3fMl,2018.09.30,-,AlbertoNeris,Ashtii,1-0,2018.09.30,22:00:08,1812,1776,10,-9,B00,St. George Defense,180+0,Normal,,,259,241
Rated Bullet game,https://lichess.org/YmPf7d0c,2018.09.30,-,andmirrors,momanonnone,0-1,2018.09.30,22:00:09,1876,2091,-5,5,B10,Caro-Kann Defense,30+0,Normal,,,279,261
Rated Blitz game,https://lichess.org/vUUqx1jj,2018.09.30,-,drkapablanka2,freshnlow,1-0,2018.09.30,22:00:09,1582,1674,14,-13,C02,French Defense: Advance Variation #3,180+0,Normal,,,299,281
Rated Blitz game,https://lichess.org/rtxXDL0C,2018.09.30,-,thisweekthis,Horse_Move,1-0,2018.09.30,22:00:11,1861,1619,5,-4,B00,St. George Defense,300+0,Time forfeit,,,319,301
Rated Bullet game,https://lichess.org/4ZrtGpzL,2018.09.30,-,SolaGracia,NestorIda,0-1,2018.09.30,22:00:11,1698,1601,-13,13,A40,English Defense #2,60+0,Time forfeit,,,339,321
Rated Blitz tournament https://lichess.org/tournament/oishmLfB,https://lichess.org/1X5WKEcw,2018.09.30,-,boubou22,oceannn7,1-0,2018.09.30,22:00:11,1635,1635,12,-12,C30,"King's Gambit Declined, Queen's Knight Defense",300+0,Time forfeit,,,359,341
Rated Blitz tournament https://lichess.org/tournament/oishmLfB,https://lichess.org/zys5rIiv,2018.09.30,-,derquinov,lukrecja,0-1,2018.09.30,22:00:11,1656,1757,-8,8,B01,Scandinavian Defense: Modern Variation,300+0,Normal,,,379,361
Rated Blitz tournament https://lichess.org/tournament/OxfQc7pb,https://lichess.org/gDqSeZqa,2018.09.30,-,Gaspix,rockofstrength,1-0,2018.09.30,22:00:11,1960,1676,4,-4,A10,English Opening: Great Snake Variation,180+0,Normal,,,399,381
Rated Bullet tournament https://lichess.org/tournament/rs53Xpda,https://lichess.org/NaPtjbza,2018.09.30,-,WhyNoGm,Ayopublic,1-0,2018.09.30,22:00:11,1664,1596,9,-13,A04,Zukertort Opening: Pirc Invitation,60+0,Time forfeit,,,419,401
Rated Bullet game,https://lichess.org/Q5hOlUTw,2018.09.30,-,kokinho,jj1987,1-0,2018.09.30,22:00:11,2030,1992,26,-9,C10,French Defense: Rubinstein Variation,60+0,Time forfeit,,,439,421
