"X_id","RSN","YEAR_REGISTERED","YEAR_EVALUATED","YEAR_BUILT","PROPERTY_TYPE","WARD","WARDNAME","SITE_ADDRESS","CONFIRMED_STOREYS","CONFIRMED_UNITS","EVALUATION_COMPLETED_ON","SCORE","RESULTS_OF_SCORE","NO_OF_AREAS_EVALUATED","ENTRANCE_LOBBY","ENTRANCE_DOORS_WINDOWS","SECURITY","STAIRWELLS","LAUNDRY_ROOMS","INTERNAL_GUARDS_HANDRAILS","GARBAGE_CHUTE_ROOMS","GARBAGE_BIN_STORAGE_AREA","ELEVATORS","STORAGE_AREAS_LOCKERS","INTERIOR_WALL_CEILING_FLOOR","INTERIOR_LIGHTING_LEVELS","GRAFFITI","EXTERIOR_CLADDING","EXTERIOR_GROUNDS","EXTERIOR_WALKWAYS","BALCONY_GUARDS","WATER_PEN_EXT_BLDG_ELEMENTS","PARKING_AREA","OTHER_FACILITIES","GRID","LATITUDE","LONGITUDE","X","Y"
2968408,5157421,2023,NA,1973,"TCHC",17,"Don Valley North","6 TREE SPARROWAY",4,16,"2023-02-24",83,"Evaluation needs to be conducted in 2 years",16,4,3,5,4,NA,4,NA,5,NA,NA,4,5,5,5,3,3,5,4,3,4,"N1721",43.791384199,-79.369630481,315272.148,4849932.515
2968409,5156815,2023,NA,1973,"TCHC",17,"Don Valley North","15 FIELD SPARROWAY",4,16,"2023-02-24",80,"Evaluation needs to be conducted in 2 years",16,4,3,5,3,NA,4,NA,5,NA,NA,3,5,5,3,3,5,5,4,3,4,"N1721",43.791143455,-79.368819925,315333.193,4849916.905
2968410,5156814,2023,NA,1973,"TCHC",17,"Don Valley North","13 FIELD SPARROWAY",4,16,"2023-02-24",81,"Evaluation needs to be conducted in 2 years",16,4,3,5,3,NA,4,NA,5,NA,NA,3,5,5,4,4,4,5,4,3,4,"N1721",43.790919576,-79.368770753,315334.815,4849906.373
2968411,5157387,2023,NA,1973,"TCHC",17,"Don Valley North","4 TREE SPARROWAY",4,16,"2023-02-24",79,"Evaluation needs to be conducted in 2 years",16,5,3,5,3,NA,4,NA,5,NA,NA,3,5,3,5,3,3,5,4,3,4,"N1721",43.791447811,-79.369332403,315291.755,4849938.162
2968412,5156871,2023,NA,1973,"TCHC",17,"Don Valley North","2 TREE SPARROWAY",4,16,"2023-02-24",76,"Evaluation needs to be conducted in 2 years",16,4,3,4,3,NA,4,NA,4,NA,NA,2,5,3,5,3,5,5,4,3,4,"N1721",43.791511427,-79.369045359,315330.308,4849947.465
2968413,5157423,NA,NA,1973,"TCHC",17,"Don Valley North","8 TREE SPARROWAY",4,16,"2023-02-23",79,"Evaluation needs to be conducted in 2 years",15,4,3,5,3,NA,4,NA,NA,NA,NA,3,5,5,5,3,3,5,4,3,4,"N1721",43.791324582,-79.369928562,315254.077,4849928.842
2968414,5186997,NA,NA,2019,"PRIVATE",12,"Toronto-St. Paul's","200 MADISON AVE",6,82,"2023-01-31",100,"Evaluation needs to be conducted in 3 years",19,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,NA,"S1237",43.676442017,-79.406812986,312299.706,4837164.375
2968415,5156142,2023,NA,1889,"PRIVATE",13,"Toronto Centre","109 PEMBROKE ST",4,20,"2023-01-27",67,"Evaluation needs to be conducted in 2 years",14,3,4,3,3,2,3,NA,4,NA,NA,3,3,5,3,3,4,NA,4,NA,NA,"S1328",43.660120206,-79.3728278301,315041.504,4835359.918
2968416,5118732,2022,NA,2021,"PRIVATE",13,"Toronto Centre","25 NICHOLAS AVE",29,346,"2023-01-27",100,"Evaluation needs to be conducted in 3 years",20,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"S1330",NA,NA,316225.666,4835308.898
2968417,5156008,2022,NA,1885,"PRIVATE",9,"Davenport","267 BROCK AVE",3,11,"2023-01-24",73,"Evaluation needs to be conducted in 2 years",14,3,3,4,4,NA,4,NA,5,5,NA,3,4,3,2,4,3,NA,4,NA,NA,"S0936",43.649450698,-79.435105646,310019.153,4834169.75
2968418,5156127,2022,NA,1972,"PRIVATE",13,"Toronto Centre","33 WOOD ST",30,240,"2023-01-24",93,"Evaluation needs to be conducted in 3 years",20,5,5,5,5,5,5,4,4,4,5,5,4,5,5,5,5,4,4,4,5,"S1326",43.662341118,-79.381432692,314346.855,4835606.614
2968419,5132414,2022,NA,2018,"PRIVATE",11,"University-Rosedale","55 GERRARD ST W",43,595,"2023-01-24",99,"Evaluation needs to be conducted in 3 years",19,5,5,5,4,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"S1145",43.658443735,-79.383996717,314140.697,4835173.342
2968420,5207679,2023,NA,2022,"PRIVATE",12,"Toronto-St. Paul's","215 LONSDALE RD",20,177,"2023-01-23",100,"Evaluation needs to be conducted in 3 years",19,5,5,5,5,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"S1231",NA,NA,312559.07,4838724.578
2968421,5175953,2022,NA,2022,"PRIVATE",10,"Spadina-Fort York","57 SPADINA AVE",36,286,"2023-01-20",100,"Evaluation needs to be conducted in 3 years",20,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"S1033",43.644956232,-79.394471437,313302.359,4833678.686
2968422,4154229,2017,NA,1968,"PRIVATE",7,"Humber River-Black Creek","2770 JANE ST",4,144,"2023-01-19",85,"Evaluation needs to be conducted in 2 years",19,4,4,5,4,4,5,4,4,4,4,5,5,5,4,4,4,4,5,3,NA,"W0729",43.7474006174,-79.5159466744,303500.287,4845048.686
2968423,5156112,2022,NA,1958,"PRIVATE",12,"Toronto-St. Paul's","210 VAUGHAN RD",4,25,"2023-01-19",75,"Evaluation needs to be conducted in 2 years",15,3,3,5,5,3,4,NA,4,NA,NA,3,3,5,3,4,4,NA,4,3,NA,"S1229",43.687311357,-79.423463821,310954.409,4838376.712
